event_date,event_timestamp,event_name,event_params.key,event_params.value.string_value,event_params.value.int_value,event_params.value.float_value,event_params.value.double_value,event_previous_timestamp,event_value_in_usd,event_bundle_sequence_id,event_server_timestamp_offset,user_id,user_pseudo_id,privacy_info.analytics_storage,privacy_info.ads_storage,privacy_info.uses_transient_token,user_properties.key,user_properties.value.string_value,user_properties.value.int_value,user_properties.value.float_value,user_properties.value.double_value,user_properties.value.set_timestamp_micros,user_first_touch_timestamp,user_ltv.revenue,user_ltv.currency,device.category,device.mobile_brand_name,device.mobile_model_name,device.mobile_marketing_name,device.mobile_os_hardware_model,device.operating_system,device.operating_system_version,device.vendor_id,device.advertising_id,device.language,device.is_limited_ad_tracking,device.time_zone_offset_seconds,device.browser,device.browser_version,device.web_info.browser,device.web_info.browser_version,device.web_info.hostname,geo.continent,geo.country,geo.region,geo.city,geo.sub_continent,geo.metro,app_info.id,app_info.version,app_info.install_store,app_info.firebase_app_id,app_info.install_source,traffic_source.name,traffic_source.medium,traffic_source.source,stream_id,platform,event_dimensions.hostname,ecommerce.total_item_quantity,ecommerce.purchase_revenue_in_usd,ecommerce.purchase_revenue,ecommerce.refund_value_in_usd,ecommerce.refund_value,ecommerce.shipping_value_in_usd,ecommerce.shipping_value,ecommerce.tax_value_in_usd,ecommerce.tax_value,ecommerce.unique_items,ecommerce.transaction_id,items.item_id,items.item_name,items.item_brand,items.item_variant,items.item_category,items.item_category2,items.item_category3,items.item_category4,items.item_category5,items.price_in_usd,items.price,items.quantity,items.item_revenue_in_usd,items.item_revenue,items.item_refund_in_usd,items.item_refund,items.coupon,items.affiliation,items.location_id,items.item_list_id,items.item_list_name,items.item_list_index,items.promotion_id,items.promotion_name,items.creative_name,items.creative_slot,collected_traffic_source.manual_campaign_id,collected_traffic_source.manual_campaign_name,collected_traffic_source.manual_source,collected_traffic_source.manual_medium,collected_traffic_source.manual_term,collected_traffic_source.manual_content,collected_traffic_source.gclid,collected_traffic_source.dclid,collected_traffic_source.srsltid,is_active_user
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://4geeksacademy.com/es/landing/academia-programacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,1691524848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Academia de Programación Online · 4Geeks Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.69152E+15,page_view,engaged_session_event,,1,,,,,-773458540,,,1637663162.1691524849,Yes,Yes,No,,,,,,,1.69152E+15,0,USD,mobile,,,,,Android,Android 11,,,es-us,No,,,,Opera,76.2.4027.73374,4geeksacademy.com,Europe,Netherlands,,,Western Europe,(not set),,,,,,(direct),(none),(direct),3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,page_title,Academia de Programación Online · 4Geeks Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://4geeksacademy.com/es/landing/academia-programacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,entrances,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,1691524848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.69152E+15,route_change,ga_session_id,,1691524848,,,,,-766016903,,,1637663162.1691524849,Yes,Yes,No,,,,,,,1.69152E+15,0,USD,mobile,,,,,Android,Android 11,,,es-us,No,,,,Opera,76.2.4027.73374,4geeksacademy.com,Europe,Netherlands,,,Western Europe,(not set),,,,,,(direct),(none),(direct),3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,path,/es/landing/academia-programacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,Academia de Programación Online · 4Geeks Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://4geeksacademy.com/es/landing/academia-programacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.69152E+15,route_change,session_engaged,1,,,,,,-745279084,,,1637663162.1691524849,Yes,Yes,No,,,,,,,1.69152E+15,0,USD,mobile,,,,,Android,Android 11,,,es-us,No,,,,Opera,76.2.4027.73374,4geeksacademy.com,Europe,Netherlands,,,Western Europe,(not set),,,,,,(direct),(none),(direct),3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,page_title,Academia de Programación Online · 4Geeks Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,path,/es/landing/academia-programacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,1691524848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://4geeksacademy.com/es/landing/academia-programacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engagement_time_msec,,24378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.69152E+15,scroll,percent_scrolled,,90,,,,,-738263577,,,1637663162.1691524849,Yes,Yes,No,,,,,,,1.69152E+15,0,USD,mobile,,,,,Android,Android 11,,,es-us,No,,,,Opera,76.2.4027.73374,4geeksacademy.com,Europe,Netherlands,,,Western Europe,(not set),,,,,,(direct),(none),(direct),3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,page_title,Academia de Programación Online · 4Geeks Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engagement_time_msec,,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,1691524848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://4geeksacademy.com/es/landing/academia-programacion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.69147E+15,first_visit,page_title,"Full Stack Developer Course by 4 Geeks Academy, master the Skills and Technologies · 4Geeks Academy",,,,,,-610770131,,,535120895.1691469180,Yes,Yes,No,,,,,,,1.69147E+15,0,USD,mobile,OPPO,CPH2269,A16,,Android,Android 11.0.0,,,en-us,No,,,,Chrome,115.0.5790.166,4geeksacademy.com,Asia,Indonesia,Central Java,Semarang,Southeast Asia,(not set),,,,,,tw,ppc,tw,3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,page_location,https://4geeksacademy.com/us/coding-bootcamps/part-time-full-stack-developer?utm_source=tw&utm_medium=ppc&utm_campaign=tw&utm_id=tw&twclid=2-6atri941nme3c1i6vhbct2toa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_referrer,android-app://com.twitter.android/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,1691469179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.69147E+15,session_start,ga_session_id,,1691469179,,,,,-610770131,,,535120895.1691469180,Yes,Yes,No,,,,,,,1.69147E+15,0,USD,mobile,OPPO,CPH2269,A16,,Android,Android 11.0.0,,,en-us,No,,,,Chrome,115.0.5790.166,4geeksacademy.com,Asia,Indonesia,Central Java,Semarang,Southeast Asia,(not set),,,,,,tw,ppc,tw,3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_referrer,android-app://com.twitter.android/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://4geeksacademy.com/us/coding-bootcamps/part-time-full-stack-developer?utm_source=tw&utm_medium=ppc&utm_campaign=tw&utm_id=tw&twclid=2-6atri941nme3c1i6vhbct2toa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,"Full Stack Developer Course by 4 Geeks Academy, master the Skills and Technologies · 4Geeks Academy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.69153E+15,first_visit,page_referrer,android-app://com.google.android.googlequicksearchbox/,,,,,,218416648,,,1420912513.1691525843,Yes,Yes,No,,,,,,,1.69153E+15,0,USD,mobile,OPPO,CPH2211,Reno5 Z,,Android,Android 13.0.0,,,pt-pt,No,,,,Chrome,115.0.5790.166,4geeksacademy.com,Asia,Israel,North District,Nazareth,Western Asia,(not set),,,,,,EU-Discovery-Leads,cpc,google,3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,"Coding Course On-line and In-person, learn to code and get a better professional career · 4Geeks Academy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,1691525843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://4geeksacademy.com/us/landing/europe-portugal-coding-course?utm_source=google&utm_medium=cpc&utm_campaign=20279068203&utm_content=149048951183&utm_term=&gad=1&gclid=Cj0KCQjwz8emBhDrARIsANNJjS7UU4XzemaWzjAyEVeQ-mM1JWIt6NBk5WlktlddQDRYbZP7e26sb90aAkGDEALw_wcB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.69153E+15,session_start,engaged_session_event,,1,,,,,218416648,,,1420912513.1691525843,Yes,Yes,No,,,,,,,1.69153E+15,0,USD,mobile,OPPO,CPH2211,Reno5 Z,,Android,Android 13.0.0,,,pt-pt,No,,,,Chrome,115.0.5790.166,4geeksacademy.com,Asia,Israel,North District,Nazareth,Western Asia,(not set),,,,,,EU-Discovery-Leads,cpc,google,3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,session_engaged,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_id,,1691525843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://4geeksacademy.com/us/landing/europe-portugal-coding-course?utm_source=google&utm_medium=cpc&utm_campaign=20279068203&utm_content=149048951183&utm_term=&gad=1&gclid=Cj0KCQjwz8emBhDrARIsANNJjS7UU4XzemaWzjAyEVeQ-mM1JWIt6NBk5WlktlddQDRYbZP7e26sb90aAkGDEALw_wcB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_title,"Coding Course On-line and In-person, learn to code and get a better professional career · 4Geeks Academy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_referrer,android-app://com.google.android.googlequicksearchbox/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.6915E+15,first_visit,page_title,"Miami Coding Bootcamp, Madrid España, Santiago de Chile · 4Geeks Academy",,,,,,667771201,,,,No,No,No,,,,,,,1.6915E+15,0,USD,mobile,Apple,iPhone,,,iOS,iOS 16.5.1,,,de-de,No,,,,Safari,16.5.1,4geeksacademy.com,Europe,Slovakia,Bratislava Region,Bratislava,Eastern Europe,(not set),,,,,,,,,3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://4geeksacademy.com/us/coding-bootcamps/datascience-machine-learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.6915E+15,session_start,page_title,"Miami Coding Bootcamp, Madrid España, Santiago de Chile · 4Geeks Academy",,,,,,667771201,,,,No,No,No,,,,,,,1.6915E+15,0,USD,mobile,Apple,iPhone,,,iOS,iOS 16.5.1,,,de-de,No,,,,Safari,16.5.1,4geeksacademy.com,Europe,Slovakia,Bratislava Region,Bratislava,Eastern Europe,(not set),,,,,,,,,3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
,,,session_engaged,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,ga_session_number,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,page_location,https://4geeksacademy.com/us/coding-bootcamps/datascience-machine-learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,engaged_session_event,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20230808,1.6915E+15,route_change,session_engaged,0,,,,,,667771201,,,,No,No,No,,,,,,,1.6915E+15,0,USD,mobile,Apple,iPhone,,,iOS,iOS 16.5.1,,,de-de,No,,,,Safari,16.5.1,4geeksacademy.com,Europe,Slovakia,Bratislava Region,Bratislava,Eastern Europe,(not set),,,,,,,,,3463457828,WEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE
